log,quality_score,recon_time_acc4_s,recon_time_acc8_s,recon_time_s,run_dir,ssim_bbox,ssim_bbox_acc4,ssim_bbox_acc8,ssim_full,ssim_full_acc4,ssim_full_acc8,tag,time_ms_per_slice,time_score,total_score
reports/phase2/EXP030_official_run01_20260710_011126/eval_run.log,0.9143,198.73,185.06,383.79,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run01_20260710_011126,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run01,173.4,0.0009513541666666666,0.9152513541666667
reports/phase2/EXP030_official_run02_20260710_012039/eval_run.log,0.9143,199.54,184.98,384.52,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run02_20260710_012039,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run02,173.8,0.0009511458333333334,0.9152511458333333
reports/phase2/EXP030_official_run03_20260710_012953/eval_run.log,0.9143,199.53,184.98,384.51,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run03_20260710_012953,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run03,173.7,0.0009511979166666667,0.9152511979166666
reports/phase2/EXP030_official_run04_20260710_013908/eval_run.log,0.9143,199.34,185.03,384.36,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run04_20260710_013908,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run04,173.7,0.0009511979166666667,0.9152511979166666
reports/phase2/EXP030_official_run05_20260710_014821/eval_run.log,0.9143,199.24,184.76,384.01,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run05_20260710_014821,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run05,173.5,0.0009513020833333333,0.9152513020833334
reports/phase2/EXP030_official_run06_20260710_015735/eval_run.log,0.9143,199.15,184.97,384.11,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run06_20260710_015735,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run06,173.6,0.0009512500000000001,0.91525125
reports/phase2/EXP030_official_run07_20260710_020648/eval_run.log,0.9143,199.26,184.89,384.15,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run07_20260710_020648,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run07,173.6,0.0009512500000000001,0.91525125
reports/phase2/EXP030_official_run08_20260710_021602/eval_run.log,0.9143,199.18,184.89,384.07,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run08_20260710_021602,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run08,173.6,0.0009512500000000001,0.91525125
reports/phase2/EXP030_official_run09_20260710_022516/eval_run.log,0.9143,199.46,184.88,384.35,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run09_20260710_022516,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run09,173.7,0.0009511979166666667,0.9152511979166666
reports/phase2/EXP030_official_run10_20260710_023430/eval_run.log,0.9143,199.43,184.84,384.27,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run10_20260710_023430,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run10,173.6,0.0009512500000000001,0.91525125
reports/phase2/EXP030_official_run11_20260710_024343/eval_run.log,0.9143,199.11,184.78,383.89,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run11_20260710_024343,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run11,173.5,0.0009513020833333333,0.9152513020833334
reports/phase2/EXP030_official_run12_20260710_025256/eval_run.log,0.9143,199.26,185.0,384.26,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run12_20260710_025256,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run12,173.6,0.0009512500000000001,0.91525125
reports/phase2/EXP030_official_run13_20260710_030210/eval_run.log,0.9143,199.28,184.86,384.14,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run13_20260710_030210,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run13,173.6,0.0009512500000000001,0.91525125
reports/phase2/EXP030_official_run14_20260710_031123/eval_run.log,0.9143,199.16,184.77,383.93,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run14_20260710_031123,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run14,173.5,0.0009513020833333333,0.9152513020833334
