tag,log,ssim_full,ssim_bbox,quality_score,recon_time_s,time_ms_per_slice,time_score,total_score,ssim_full_acc4,ssim_full_acc8,ssim_bbox_acc4,ssim_bbox_acc8,recon_time_acc4_s,recon_time_acc8_s
EXP012_official,reports/phase2/EXP012_official_20260710_003807/eval_run.log,0.912,0.904,0.908,324.01,146.4,0.0009654166666666666,0.9089654166666667,0.9365,0.8875,0.9319,0.8761,167.68,156.33
EXP030_official,reports/phase2/EXP030_official_20260710_005122/eval_run.log,0.9178,0.9108,0.9143,383.5,173.3,0.00095140625,0.91525140625,0.9408,0.8949,0.9373,0.8844,198.65,184.85
EXP030_official_run01,reports/phase2/EXP030_official_run01_20260710_011126/eval_run.log,0.9178,0.9108,0.9143,383.79,173.4,0.0009513541666666666,0.9152513541666667,0.9408,0.8949,0.9373,0.8844,198.73,185.06
EXP030_official_run02,reports/phase2/EXP030_official_run02_20260710_012039/eval_run.log,0.9178,0.9108,0.9143,384.52,173.8,0.0009511458333333334,0.9152511458333333,0.9408,0.8949,0.9373,0.8844,199.54,184.98
EXP030_official_run03,reports/phase2/EXP030_official_run03_20260710_012953/eval_run.log,0.9178,0.9108,0.9143,384.51,173.7,0.0009511979166666667,0.9152511979166666,0.9408,0.8949,0.9373,0.8844,199.53,184.98
EXP030_official_run04,reports/phase2/EXP030_official_run04_20260710_013908/eval_run.log,0.9178,0.9108,0.9143,384.36,173.7,0.0009511979166666667,0.9152511979166666,0.9408,0.8949,0.9373,0.8844,199.34,185.03
EXP030_official_run05,reports/phase2/EXP030_official_run05_20260710_014821/eval_run.log,0.9178,0.9108,0.9143,384.01,173.5,0.0009513020833333333,0.9152513020833334,0.9408,0.8949,0.9373,0.8844,199.24,184.76
EXP030_official_run06,reports/phase2/EXP030_official_run06_20260710_015735/eval_run.log,0.9178,0.9108,0.9143,384.11,173.6,0.0009512500000000001,0.91525125,0.9408,0.8949,0.9373,0.8844,199.15,184.97
EXP030_official_run07,reports/phase2/EXP030_official_run07_20260710_020648/eval_run.log,0.9178,0.9108,0.9143,384.15,173.6,0.0009512500000000001,0.91525125,0.9408,0.8949,0.9373,0.8844,199.26,184.89
EXP030_official_run08,reports/phase2/EXP030_official_run08_20260710_021602/eval_run.log,0.9178,0.9108,0.9143,384.07,173.6,0.0009512500000000001,0.91525125,0.9408,0.8949,0.9373,0.8844,199.18,184.89
EXP030_official_run09,reports/phase2/EXP030_official_run09_20260710_022516/eval_run.log,0.9178,0.9108,0.9143,384.35,173.7,0.0009511979166666667,0.9152511979166666,0.9408,0.8949,0.9373,0.8844,199.46,184.88
EXP030_official_run10,reports/phase2/EXP030_official_run10_20260710_023430/eval_run.log,0.9178,0.9108,0.9143,384.27,173.6,0.0009512500000000001,0.91525125,0.9408,0.8949,0.9373,0.8844,199.43,184.84
EXP030_official_run11,reports/phase2/EXP030_official_run11_20260710_024343/eval_run.log,0.9178,0.9108,0.9143,383.89,173.5,0.0009513020833333333,0.9152513020833334,0.9408,0.8949,0.9373,0.8844,199.11,184.78
EXP030_official_run12,reports/phase2/EXP030_official_run12_20260710_025256/eval_run.log,0.9178,0.9108,0.9143,384.26,173.6,0.0009512500000000001,0.91525125,0.9408,0.8949,0.9373,0.8844,199.26,185.0
EXP030_official_run13,reports/phase2/EXP030_official_run13_20260710_030210/eval_run.log,0.9178,0.9108,0.9143,384.14,173.6,0.0009512500000000001,0.91525125,0.9408,0.8949,0.9373,0.8844,199.28,184.86
EXP030_official_run14,reports/phase2/EXP030_official_run14_20260710_031123/eval_run.log,0.9178,0.9108,0.9143,383.93,173.5,0.0009513020833333333,0.9152513020833334,0.9408,0.8949,0.9373,0.8844,199.16,184.77
EXP030_official_run15,reports/phase2/EXP030_official_run15_20260710_032036/eval_run.log,0.9178,0.9108,0.9143,383.97,173.5,0.0009513020833333333,0.9152513020833334,0.9408,0.8949,0.9373,0.8844,199.25,184.72
EXP030_official_run16,reports/phase2/EXP030_official_run16_20260710_032950/eval_run.log,0.9178,0.9108,0.9143,384.31,173.7,0.0009511979166666667,0.9152511979166666,0.9408,0.8949,0.9373,0.8844,199.43,184.88
EXP030_official_run17,reports/phase2/EXP030_official_run17_20260710_033904/eval_run.log,0.9178,0.9108,0.9143,383.95,173.5,0.0009513020833333333,0.9152513020833334,0.9408,0.8949,0.9373,0.8844,199.19,184.76
EXP030_official_run18,reports/phase2/EXP030_official_run18_20260710_034817/eval_run.log,0.9178,0.9108,0.9143,384.26,173.6,0.0009512500000000001,0.91525125,0.9408,0.8949,0.9373,0.8844,199.35,184.91
EXP030_official_run19,reports/phase2/EXP030_official_run19_20260710_035731/eval_run.log,0.9178,0.9108,0.9143,384.2,173.6,0.0009512500000000001,0.91525125,0.9408,0.8949,0.9373,0.8844,199.31,184.89
EXP030_official_run20,reports/phase2/EXP030_official_run20_20260710_040645/eval_run.log,0.9178,0.9108,0.9143,384.29,173.7,0.0009511979166666667,0.9152511979166666,0.9408,0.8949,0.9373,0.8844,199.36,184.93
EXP030_official_run21,reports/phase2/EXP030_official_run21_20260710_041558/eval_run.log,0.9178,0.9108,0.9143,384.0,173.5,0.0009513020833333333,0.9152513020833334,0.9408,0.8949,0.9373,0.8844,199.15,184.85
EXP030_official_run22,reports/phase2/EXP030_official_run22_20260710_042511/eval_run.log,0.9178,0.9108,0.9143,384.09,173.6,0.0009512500000000001,0.91525125,0.9408,0.8949,0.9373,0.8844,199.26,184.83
EXP030_official_run23,reports/phase2/EXP030_official_run23_20260710_043425/eval_run.log,0.9178,0.9108,0.9143,384.31,173.7,0.0009511979166666667,0.9152511979166666,0.9408,0.8949,0.9373,0.8844,199.26,185.05
EXP030_official_run24,reports/phase2/EXP030_official_run24_20260710_044339/eval_run.log,0.9178,0.9108,0.9143,384.25,173.6,0.0009512500000000001,0.91525125,0.9408,0.8949,0.9373,0.8844,199.52,184.73
EXP030_official_run25,reports/phase2/EXP030_official_run25_20260710_045253/eval_run.log,0.9178,0.9108,0.9143,384.0,173.5,0.0009513020833333333,0.9152513020833334,0.9408,0.8949,0.9373,0.8844,199.24,184.75
EXP030_official_run26,reports/phase2/EXP030_official_run26_20260710_050206/eval_run.log,0.9178,0.9108,0.9143,384.07,173.6,0.0009512500000000001,0.91525125,0.9408,0.8949,0.9373,0.8844,199.21,184.85
EXP030_official_run27,reports/phase2/EXP030_official_run27_20260710_051119/eval_run.log,0.9178,0.9108,0.9143,384.23,173.6,0.0009512500000000001,0.91525125,0.9408,0.8949,0.9373,0.8844,199.25,184.97
EXP030_official_run28,reports/phase2/EXP030_official_run28_20260710_052032/eval_run.log,0.9178,0.9108,0.9143,384.23,173.6,0.0009512500000000001,0.91525125,0.9408,0.8949,0.9373,0.8844,199.39,184.84
EXP030_official_run29,reports/phase2/EXP030_official_run29_20260710_052946/eval_run.log,0.9178,0.9108,0.9143,384.1,173.6,0.0009512500000000001,0.91525125,0.9408,0.8949,0.9373,0.8844,199.16,184.94
